baujahr,stadt,Bevölkerung,DistanzNamur,DistanzMaastricht,DistanzBrüssel,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
1940,HUY,21293,38,68,86,162,299000,309.0,4,1,1,1,1,0
1942,SAINT-NICOLAS,24392,63,43,97,170,155000,150.0,4,2,1,1,1,0
1943,YVOIR,8450,19,120,92,145,220000,244.0,5,1,1,0,1,0
1945,JEMEPPE-SUR-MEUSE,11398,60,43,96,172,115000,150.0,3,1,2,0,1,0
1946,BOIRS,8335,74,19,105,189,329000,249.0,3,1,4,0,1,0
1947,DURBUY,11374,56,83,117,141,355000,340.0,4,1,5,1,1,0
1947,BIHAIN,7339,87,91,155,113,595000,580.0,16,16,21,1,1,0
1948,VERVIERS,55592,94,46,124,140,193000,87.0,3,1,1,0,1,0
1948,NADRIN,5826,77,98,163,106,395000,300.0,5,1,12,1,1,0
1948,MOUSTIER-SUR-SAMBRE,2661,27,103,75,174,125000,256.0,1,1,2,0,1,0
1948,GRIVEGNÉE,19606,69,34,102,164,258000,110.0,3,1,8,1,1,0
1949,BERTRIX,8164,88,159,147,84,180000,226.0,6,2,1,1,1,0
1949,WÉPION,6538,6,99,71,160,339000,200.0,5,1,5,0,1,0
1949,ANS,27322,63,35,91,173,215000,120.0,2,1,3,0,1,0
1949,LONZÉE,1987,16,102,50,173,200000,125.0,3,1,4,0,1,0
1949,BOUILLON,5477,92,176,150,101,325000,224.0,4,2,1,0,1,0
1950,NAMUR,110175,0,93,66,154,399999,169.0,3,1,2,0,1,0
1950,HABAY,8387,116,159,175,44,450000,214.0,2,1,3,1,1,0
1950,LA ROCHE-EN-ARDENNE,4194,65,102,126,111,495000,408.0,11,2,3,1,1,0
1950,HOUFFALIZE,4802,104,100,164,103,243000,203.0,2,1,1,0,1,0
1950,WAREMME,15437,51,54,78,191,350000,160.0,3,1,5,1,1,0
1950,GEMBLOUX,25933,20,105,46,179,285000,150.0,3,1,2,1,1,0
1950,OUPEYE,25297,73,23,103,187,35000,117.0,4,1,1,0,1,0
1950,AYWAILLE,12000,91,59,123,146,230000,188.0,5,1,4,0,1,0
1950,HUY,21293,38,68,86,162,425000,400.0,5,3,2,1,1,0
1950,SERAING,63968,65,48,101,166,189000,108.0,3,1,1,0,1,0
1950,WONCK,1412,78,14,109,193,557000,185.0,6,2,13,1,1,0
1950,BURG-REULAND,3956,152,104,182,86,576000,200.0,4,1,2,1,1,0
1951,LEUZE,13886,108,85,37,159,325000,130.0,4,2,3,0,1,0
1951,WELKENRAEDT,9163,98,51,129,184,259000,150.0,3,1,1,0,1,0
1951,BEAUFAYS,21012,79,47,111,153,275000,89.0,2,1,1,0,1,0
1951,SENSENRUTH,5477,87,172,146,97,190000,116.0,3,1,2,0,1,0
1951,SERAING,63968,65,48,101,166,229000,130.0,3,1,4,1,1,0
1951,BEYNE-HEUSAY,11711,73,34,105,166,189000,100.0,3,1,2,1,1,0
1952,ATHUS,7757,141,184,200,31,272000,220.0,5,3,1,1,1,0
1952,JAMBES,19399,1,94,67,155,185000,73.0,1,1,2,1,0,1
1952,JAMBES,19399,1,94,67,155,185000,73.0,1,1,2,1,0,1
1952,SPA,10543,109,61,140,130,799000,354.0,5,1,10,1,1,0
1953,LIÈGE,195965,65,32,97,166,165000,129.0,2,1,1,0,1,0
1953,SAINT-VITH,9169,141,93,171,93,195000,150.0,5,2,6,0,1,0
1953,ALLEUR,7294,62,35,93,177,235000,246.0,5,2,2,0,1,0
1954,MUSSON,4646,142,185,201,43,350000,242.0,4,1,1,1,1,0
1954,LIÈGE,195965,65,32,97,166,139000,75.0,2,1,1,0,0,1
1954,WAREMME,15437,51,54,78,191,300000,140.0,3,2,1,1,1,0
1954,NAMUR,110175,0,93,66,154,485000,300.0,8,1,1,0,1,0
1955,ANDENNE,27010,34,78,76,155,125000,75.0,2,1,1,0,0,1
1955,MONTEGNÉE,11705,60,40,93,172,265000,115.0,2,1,2,0,1,0
1955,AISEMONT,666,21,116,80,188,500000,215.0,3,1,7,0,1,0
1955,LIÈGE,195965,65,32,97,166,199500,130.0,4,2,1,0,1,0
1956,SPA,10543,109,61,140,130,240000,105.0,2,1,2,1,1,0
1956,LIÈGE,195965,65,32,97,166,395000,153.0,2,1,2,0,0,1
1956,WAREMME,15437,51,54,78,191,239000,252.0,5,1,2,0,1,0
1956,ARLON,30047,129,156,188,33,369000,160.0,4,1,1,0,1,0
1956,MANHAY,3767,72,82,146,122,399000,283.0,5,1,5,1,1,0
1956,PALISEUL,5393,77,163,136,92,145000,166.0,3,1,1,0,1,0
1957,LIÈGE,195965,65,32,97,166,180000,123.0,3,1,1,1,1,0
1957,ARLON,30047,129,156,188,33,270000,90.0,2,1,1,1,1,0
1957,BERTRIX,8164,88,159,147,84,165000,162.0,3,1,2,1,1,0
1957,LIÈGE,195965,65,32,97,166,165000,124.0,2,1,1,1,1,0
1957,ELSENBORN,5605,126,78,157,117,950000,270.0,5,2,6,0,1,0
1957,ROCOURT,197355,63,32,97,166,215000,140.0,3,1,3,1,1,0
1957,BASTOGNE,16377,86,118,147,83,300000,410.0,4,2,3,0,1,0
1957,HEUSY,55198,94,47,125,162,950000,420.0,6,2,6,0,1,0
1957,ANS,27322,63,35,91,173,390000,300.0,4,4,5,0,0,1
1957,LIÈGE,195965,65,32,97,166,390000,300.0,4,4,5,0,0,1
1958,AYWAILLE,12000,91,59,123,146,199000,108.0,3,1,5,1,1,0
1958,HALANZY,2809,143,185,202,41,279000,110.0,3,1,4,0,1,0
1958,AMAY,14231,46,56,94,165,229500,120.0,3,1,2,1,1,0
1958,SEILLES,4957,19,78,76,155,189000,95.0,3,1,3,0,1,0
1958,JAMOIGNE,1470,112,161,171,59,200000,196.0,5,1,4,0,1,0
1958,GRÂCE-HOLLOGNE,23574,56,41,94,177,199000,141.0,3,1,3,0,1,0
1958,WAREMME,15437,51,54,78,191,200000,150.0,4,1,3,1,1,0
1958,ANDENNE,27010,34,78,76,155,315000,215.0,5,1,3,0,1,0
1958,LIÈGE,195965,65,32,97,166,205000,110.0,4,1,1,1,1,0
1959,OUPEYE,25297,73,23,103,187,230000,125.0,3,1,1,1,1,0
1959,THEUX,12025,100,52,131,156,449000,401.0,7,3,23,1,1,0
1959,CHAUDFONTAINE,21012,73,40,105,158,780000,260.0,5,1,5,1,1,0
1959,JEMELLE,2006,53,97,114,115,240000,246.0,3,2,2,0,1,0
1959,SAINT-SERVAIS,9588,3,97,64,157,220000,100.0,3,1,1,1,1,0
1960,SERAING,63968,65,48,101,166,215000,140.0,3,1,4,0,1,0
1960,NAMUR,110175,0,93,66,154,265000,200.0,4,1,1,0,1,0
1960,WÉPION,6538,6,99,71,160,349000,177.0,4,2,4,1,1,0
1960,ARLON,30047,129,156,188,33,390000,230.0,5,1,1,1,1,0
1960,NAMUR,110175,0,93,66,154,690000,250.0,6,6,1,0,1,0
1960,NAMUR,110175,0,93,66,154,549000,306.0,5,2,4,0,1,0
1960,ISNES,25933,12,98,61,170,249000,187.0,3,1,4,1,1,0
1960,EMBOURG,8062,71,39,104,161,550000,300.0,6,1,4,1,1,0
1960,NAMUR,110175,0,93,66,154,265000,200.0,4,1,1,1,1,0
1960,AYWAILLE,12000,91,59,123,146,239000,126.0,2,1,4,1,1,0
1960,HUY,21293,38,68,86,162,270000,180.0,5,1,5,1,1,0
1960,THEUX,12025,100,52,131,156,396000,219.0,3,1,10,0,1,0
1960,ESNEUX,13049,81,49,113,158,395000,183.0,4,2,6,0,1,0
1960,ANGLEUR,10882,68,35,100,162,320000,205.0,3,1,2,0,1,0
1960,MARCHIN,5223,37,77,92,157,450000,263.0,5,1,16,1,1,0
1960,HOUTAIN-SAINT-SIMÉON,1963,74,24,105,189,239000,129.0,3,1,3,0,1,0
1960,HERSTAL,600000,72,27,103,175,229000,190.0,3,1,1,0,1,0
