baujahr,stadt,Bevölkerung,DistanzSaarbrücken,DistanzThionville,DistanzMetz,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2020,AUMETZ,2307,111,22,47,33,149537,52.82,1,1,1,0,0,1
2020,THIONVILLE,40665,94,0,30,36,379000,103.94,3,1,2,1,1,0
2020,KANFEN,1142,95,16,43,22,350000,150.0,3,2,3,0,1,0
2020,KIRSCH-LÈS-SIERCK,313,72,24,52,42,489000,160.0,3,1,3,1,1,0
2020,TELLANCOURT,551,130,51,73,49,349000,138.0,3,1,2,1,0,0
2020,THIONVILLE,40665,94,0,30,36,399000,95.65,3,1,1,0,1,0
2020,THIONVILLE,40665,94,0,30,36,587000,137.61,4,1,2,1,1,0
2020,AUDUN-LE-TICHE,6753,106,30,53,25,179000,57.6,1,1,1,0,0,1
2020,AUDUN-LE-TICHE,6753,106,30,53,25,188000,55.0,2,1,1,0,0,1
2020,BEYREN-LÈS-SIERCK,536,80,19,50,32,393100,133.0,3,2,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,672000,243.0,4,3,1,0,1,0
2020,THIONVILLE,40665,94,0,30,36,459000,126.58,4,1,1,0,1,0
2020,PONTOY,404,78,45,19,79,259000,110.0,3,1,1,0,1,0
2020,VILLERS-LA-MONTAGNE,1482,121,35,57,40,349000,120.0,3,1,2,1,1,0
2020,HALSTROFF,327,51,27,44,52,249000,100.0,3,1,1,0,1,0
2020,BEUVEILLE,772,134,48,70,53,259000,120.0,3,1,1,0,1,0
2020,PLAPPEVILLE,2029,74,30,4,64,529000,140.0,3,2,2,1,1,0
2020,LESMÉNILS,498,91,52,25,86,289000,110.0,3,1,1,1,1,0
2020,WOIPPY,13608,73,27,5,61,299000,100.0,3,1,1,1,1,0
2020,LONGUYON,5397,138,59,81,57,299000,110.0,3,2,1,1,1,0
2020,KÉDANGE-SUR-CANNER,1085,60,16,28,51,279000,110.0,3,1,2,0,1,0
2020,MERCY-LE-BAS,1271,121,38,57,45,255000,120.0,3,2,2,1,1,0
2020,SPINCOURT,840,130,50,66,61,239000,110.0,3,1,2,0,1,0
2020,SAINT-PANCRÉ,325,132,54,76,52,249000,110.0,3,1,1,1,1,0
