baujahr,stadt,Bevölkerung,DistanzKöln,DistanzSaarbrücken,DistanzFrankfurt,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,565000,148.0,3,2,4,1,1,0
2020,PRÜM,5510,110,157,216,100,595000,220.0,7,2,1,1,1,0
2020,TRIER,110636,174,99,196,49,294000,100.0,1,1,2,0,0,1
1971,TRIER,110636,174,99,196,49,399000,150,4,1,1,1,1,0
1965,TRIER,110636,174,99,196,49,670000,180,3,2,1,1,1,0
1996,TRIER,110636,174,99,196,49,215000,83,2,1,1,0,0,1
2004,TRIER,110636,174,99,196,49,345000,91,2,1,0,1,1,0
2020,BOLLENDORF,1679,172,125,227,28,698000,242,4,2,2,1,1,0
1976,BOLLENDORF,1679,172,125,227,28,227000,82,2,2,1,0,0,1
1985,BOLLENDORF,1679,172,125,227,28,439000,210,4,2,1,1,1,0
1996,SAARBRÜCKEN,178151,262,0,185,100,690000,306,4,2,1,1,1,0
1983,SAARBRÜCKEN,178151,262,0,185,100,259000,160,3,2,1,0,1,0
