kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
399000,1920,0,1,325.0,4,2,2,0,LIÈGE,195965,0,1,0,0
245000,1924,0,1,142.0,5,2,2,1,ENGIS,6206,0,1,0,0
189000,1924,1,0,140.0,3,1,1,0,MESSANCY,8283,0,1,0,0
265000,1925,0,1,141.0,3,1,2,1,SPRIMONT,14645,0,1,0,0
295000,1925,0,1,242.0,3,1,5,1,HAMOIR,3874,0,1,0,0
138000,1929,0,1,222.0,6,1,1,0,BULLANGE,5385,0,1,0,0
220000,1930,0,1,140.0,3,1,2,1,WAREMME,15437,0,1,0,0
240000,1930,0,1,180.0,5,1,1,1,OREYE,3464,0,1,0,0
235000,1930,0,1,235.0,3,1,1,1,LIÈGE,195965,0,1,0,0
109000,1930,0,1,50.0,1,1,1,1,MONTEGNÉE,11705,0,1,0,0
179000,1930,0,1,242.0,4,1,1,0,VERVIERS,55592,0,1,0,0
425000,1930,0,1,350.0,3,1,26,0,AUBANGE,16042,0,1,0,0
290000,1930,0,1,277.0,5,1,1,1,ROCOURT,197355,0,1,0,0
219000,1930,0,1,160.0,4,1,1,1,GUERLANGE,349,0,1,0,0
950000,1930,0,1,348.0,3,2,8,1,DAVE,1498,0,1,0,0
249000,1930,0,1,50.0,1,1,1,0,EUPEN,20026,0,1,0,0
285000,1930,0,1,174.0,4,1,1,1,ARLON,30047,0,1,0,0
240000,1930,0,1,170.0,3,1,3,1,WARET-L'EVÈQUE,5277,0,1,0,0
275000,1930,0,1,208.0,4,1,4,0,NAMUR,110175,0,1,0,0
350000,1930,0,1,440.0,4,3,1,0,COMBLAIN-AU-PONT,5384,0,1,0,0
99000,1930,0,1,72.0,3,1,1,0,ATHUS,7757,0,1,0,0
275000,1930,0,1,306.0,5,2,2,1,FAULX-LES-TOMBES,7246,0,1,0,0
215000,1930,0,1,155.0,2,1,2,1,ANDRIMONT,4359,0,1,0,0
199000,1930,0,1,119.0,2,1,1,1,ANDRIMONT,4359,0,1,0,0
99900,1930,0,1,175.0,3,1,4,0,TOURINNE,5361,0,1,0,0
600000,1931,0,1,375.0,5,3,12,1,SOURBRODT,7429,0,1,0,0
235000,1932,0,1,225.0,5,1,3,1,BOMAL-SUR-OURTHE,1100,0,1,0,0
189000,1932,0,1,180.0,4,1,1,1,LIÈGE,195965,0,1,0,0
147000,1933,0,1,70.0,2,1,1,1,THOMMEN,242,0,1,0,0
249000,1933,0,1,229.0,4,1,4,1,AWANS,9252,0,1,0,0
259000,1934,0,1,120.0,2,2,2,1,EMBOURG,8062,0,1,0,0
215000,1934,0,1,130.0,6,1,5,1,BUTGENBACH,5574,0,1,0,0
169000,1934,0,1,134.0,3,1,5,0,EREZÉE,3228,0,1,0,0
265000,1935,0,1,120.0,2,1,1,0,TIHANGE,3141,0,1,0,0
175000,1935,0,1,120.0,2,1,1,0,TIHANGE,3141,0,1,0,0
189500,1935,0,1,140.0,3,1,1,0,AMAY,14231,0,1,0,0
135000,1936,0,1,108.0,2,1,3,0,ALLEUR,7294,0,1,0,0
140000,1936,0,1,90.0,3,2,1,1,SPA,10543,0,1,0,0
189000,1936,0,1,300.0,4,1,4,0,GRAIDE,3307,0,1,0,0
230000,1936,0,1,213.0,4,1,4,0,HACCOURT,3851,0,1,0,0
275000,1937,0,1,141.0,2,1,1,1,AUBANGE,16042,0,1,0,0
375000,1938,0,1,175.0,5,2,1,1,NAMUR,110175,0,1,0,0
180000,1938,0,1,220.0,3,1,1,1,VERVIERS,55592,0,1,0,0
325000,1938,0,1,262.0,5,3,5,1,MELLIER,11574,0,1,0,0
299000,1938,0,1,183.0,4,1,5,0,HOLLOGNE-AUX-PIERRES,22541,0,1,0,0
189000,1938,0,1,200.0,3,2,1,1,HERSTAL,600000,0,1,0,0
225000,1938,0,1,140.0,3,1,1,0,OLEYE,785,0,1,0,0
285000,1938,0,1,150.0,4,1,2,1,YVOIR,8450,0,1,0,0
172500,1938,0,1,100.0,4,1,1,0,BEAUFAYS,21012,0,1,0,0
950000,1939,0,1,500.0,10,5,1,0,NAMUR,110175,0,1,0,0
795000,1939,0,1,550.0,5,4,2,0,NAMUR,110175,0,1,0,0
881000,1940,0,1,702.0,6,3,2,0,NEUFCHÂTEAU,7770,0,1,0,0
185000,1940,0,1,300.0,2,1,1,0,RENDEUX,2582,0,1,0,0
299000,1940,0,1,309.0,4,1,1,1,HUY,21293,0,1,0,0
155000,1942,0,1,150.0,4,2,1,1,SAINT-NICOLAS,24392,0,1,0,0
220000,1943,0,1,244.0,5,1,1,0,YVOIR,8450,0,1,0,0
115000,1945,0,1,150.0,3,1,2,0,JEMEPPE-SUR-MEUSE,11398,0,1,0,0
329000,1946,0,1,249.0,3,1,4,0,BOIRS,8335,0,1,0,0
355000,1947,0,1,340.0,4,1,5,1,DURBUY,11374,0,1,0,0
595000,1947,0,1,580.0,16,16,21,1,BIHAIN,7339,0,1,0,0
193000,1948,0,1,87.0,3,1,1,0,VERVIERS,55592,0,1,0,0
395000,1948,0,1,300.0,5,1,12,1,NADRIN,5826,0,1,0,0
125000,1948,0,1,256.0,1,1,2,0,MOUSTIER-SUR-SAMBRE,2661,0,1,0,0
258000,1948,0,1,110.0,3,1,8,1,GRIVEGNÉE,19606,0,1,0,0
180000,1949,0,1,226.0,6,2,1,1,BERTRIX,8164,0,1,0,0
339000,1949,0,1,200.0,5,1,5,0,WÉPION,6538,0,1,0,0
215000,1949,0,1,120.0,2,1,3,0,ANS,27322,0,1,0,0
200000,1949,0,1,125.0,3,1,4,0,LONZÉE,1987,0,1,0,0
325000,1949,0,1,224.0,4,2,1,0,BOUILLON,5477,0,1,0,0
399999,1950,0,1,169.0,3,1,2,0,NAMUR,110175,0,1,0,0
450000,1950,0,1,214.0,2,1,3,1,HABAY,8387,0,1,0,0
495000,1950,0,1,408.0,11,2,3,1,LA ROCHE-EN-ARDENNE,4194,0,1,0,0
243000,1950,0,1,203.0,2,1,1,0,HOUFFALIZE,4802,0,1,0,0
350000,1950,0,1,160.0,3,1,5,1,WAREMME,15437,0,1,0,0
285000,1950,0,1,150.0,3,1,2,1,GEMBLOUX,25933,0,1,0,0
35000,1950,0,1,117.0,4,1,1,0,OUPEYE,25297,0,1,0,0
230000,1950,0,1,188.0,5,1,4,0,AYWAILLE,12000,0,1,0,0
425000,1950,0,1,400.0,5,3,2,1,HUY,21293,0,1,0,0
189000,1950,0,1,108.0,3,1,1,0,SERAING,63968,0,1,0,0
557000,1950,0,1,185.0,6,2,13,1,WONCK,1412,0,1,0,0
576000,1950,0,1,200.0,4,1,2,1,BURG-REULAND,3956,0,1,0,0
