kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
1495000,1960,0,1,150.0,4,2,4,1,HEISDORF,1553,0,0,1,0
1290000,1960,0,1,160.0,4,1,4,1,LEUDELANGE,1851,0,0,1,0
1440000,1960,0,1,162.5,4,2,2,1,SANDWEILER,2577,0,0,1,0
1495000,1960,0,1,150.0,4,1,6,1,HEISDORF,1553,0,0,1,0
1875000,1960,0,1,175.0,5,1,5,1,WALFERDANGE,6400,0,0,1,0
715000,1960,0,1,150.0,4,1,5,0,PÉTANGE,18200,0,0,1,0
595000,1960,1,0,128.5,3,2,1,0,DIFFERDANGE,25400,0,0,1,0
980000,1960,0,1,187.0,4,1,2,1,WASSERBILLIG,2186,0,0,1,0
890000,1960,1,0,74.0,2,1,1,0,LUXEMBOURG-CENTRE,122273,0,0,1,0
1490000,1960,0,1,149.0,4,3,2,1,NIEDERANVEN,5439,0,0,1,0
1049000,1961,0,1,392.46,2,2,15,0,EHLERANGE,971,0,0,1,0
995000,1962,1,0,128.0,3,1,2,1,BEREL,3570,0,0,1,0
937000,1962,0,1,210.0,5,3,4,1,DIFFERDANGE,25400,0,0,1,0
495000,1962,1,0,68.0,2,1,1,0,DUDELANGE,20400,0,0,1,0
1320000,1963,0,1,206.0,5,2,2,1,ESCH-SUR-ALZETTE,34780,0,0,1,0
675000,1963,0,1,139.0,3,1,3,1,VIANDEN,1511,0,0,1,0
950000,1964,1,0,215.0,4,2,1,0,BEREL,3570,0,0,1,0
895000,1964,0,1,150.0,3,1,1,1,HOBSCHEID,3400,0,0,1,0
795000,1964,0,1,250.0,3,1,1,1,ETTELBRÜCK,8833,0,0,1,0
999000,1964,0,1,172.37,4,1,1,1,PÉTANGE,18200,0,0,1,0
999000,1964,0,1,172.0,4,1,2,1,PÉTANGE,18200,0,0,1,0
610000,1964,1,0,113.0,3,1,1,0,ETTELBRÜCK,8833,0,0,1,0
765000,1964,0,1,130.0,3,1,2,1,RODANGE,7370,0,0,1,0
1145000,1965,1,0,104.0,3,1,1,0,LUXEMBOURG-BONNEVOIE,12734,0,0,1,0
675000,1965,1,0,70.0,2,1,1,0,LUXEMBOURG-BONNEVOIE,12734,0,0,1,0
1125000,1965,1,0,98.0,2,1,2,0,LUXEMBOURG,114303,0,0,1,0
1249000,1965,0,1,160.0,4,1,3,1,HOWALD,4760,0,0,1,0
849000,1965,0,1,125.0,3,1,1,1,SANEM,16100,0,0,1,0
920000,1965,0,1,245.0,5,2,1,0,BASCHARAGE,6590,0,0,1,0
615000,1965,1,0,103.0,2,1,1,0,ESCH-SUR-ALZETTE,34780,0,0,1,0
895000,1965,0,1,170.0,4,2,1,1,EHNEN,504,0,0,1,0
